timestamp,message
1618831161881,"{""time"":""2021-04-19 11:19:16.886321"", ""function"" : ""[core:notice]"", ""process"" : ""[pid4557]"" ,""message"" : ""AH00094: Command line: '/usr/sbin/apache2'""}"
1618831725460,"{""time"":""2021-04-19 11:28:45.157614"", ""function"" : ""[mpm_prefork:notice]"", ""process"" : ""[pid4557]"" ,""message"" : ""AH00169: caught SIGTERM, shutting down""}"
1618831725460,"{""time"":""2021-04-19 11:28:45.312758"", ""function"" : ""[mpm_prefork:notice]"", ""process"" : ""[pid4783]"" ,""message"" : ""AH00163: Apache/2.4.41 (Ubuntu) configured -- resuming normal operations""}"
1618831730331,"{""time"":""2021-04-19 11:28:45.312806"", ""function"" : ""[core:notice]"", ""process"" : ""[pid4783]"" ,""message"" : ""AH00094: Command line: '/usr/sbin/apache2'""}"
1618831857386,"{""time"":""2021-04-19 11:30:57.210956"", ""function"" : ""[mpm_prefork:notice]"", ""process"" : ""[pid4783]"" ,""message"" : ""AH00169: caught SIGTERM, shutting down""}"
1618831857386,"{""time"":""2021-04-19 11:30:57.372439"", ""function"" : ""[mpm_prefork:notice]"", ""process"" : ""[pid5010]"" ,""message"" : ""AH00163: Apache/2.4.41 (Ubuntu) configured -- resuming normal operations""}"
1618831862303,"{""time"":""2021-04-19 11:30:57.373720"", ""function"" : ""[core:notice]"", ""process"" : ""[pid5010]"" ,""message"" : ""AH00094: Command line: '/usr/sbin/apache2'""}"
1618832109093,"{""time"":""2021-04-19 11:35:08.869648"", ""function"" : ""[mpm_prefork:notice]"", ""process"" : ""[pid5010]"" ,""message"" : ""AH00169: caught SIGTERM, shutting down""}"
1618832109093,"{""time"":""2021-04-19 11:35:09.032109"", ""function"" : ""[mpm_prefork:notice]"", ""process"" : ""[pid5214]"" ,""message"" : ""AH00163: Apache/2.4.41 (Ubuntu) configured -- resuming normal operations""}"
1618832122890,"{""time"":""2021-04-19 11:35:09.032166"", ""function"" : ""[core:notice]"", ""process"" : ""[pid5214]"" ,""message"" : ""AH00094: Command line: '/usr/sbin/apache2'""}"
1618832189186,"{""time"":""2021-04-19 11:36:20.391798"", ""function"" : ""[mpm_prefork:notice]"", ""process"" : ""[pid5214]"" ,""message"" : ""AH00169: caught SIGTERM, shutting down""}"
1618832189186,"{""time"":""2021-04-19 11:36:20.594319"", ""function"" : ""[mpm_prefork:notice]"", ""process"" : ""[pid5403]"" ,""message"" : ""AH00163: Apache/2.4.41 (Ubuntu) configured -- resuming normal operations""}"
1618832194400,"{""time"":""2021-04-19 11:36:20.594370"", ""function"" : ""[core:notice]"", ""process"" : ""[pid5403]"" ,""message"" : ""AH00094: Command line: '/usr/sbin/apache2'""}"
1618832522415,"{""time"":""2021-04-19 11:42:02.024728"", ""function"" : ""[mpm_prefork:notice]"", ""process"" : ""[pid5403]"" ,""message"" : ""AH00169: caught SIGTERM, shutting down""}"
1618832522415,"{""time"":""2021-04-19 11:42:02.190192"", ""function"" : ""[mpm_prefork:notice]"", ""process"" : ""[pid5706]"" ,""message"" : ""AH00163: Apache/2.4.41 (Ubuntu) configured -- resuming normal operations""}"
1618832527186,"{""time"":""2021-04-19 11:42:02.190247"", ""function"" : ""[core:notice]"", ""process"" : ""[pid5706]"" ,""message"" : ""AH00094: Command line: '/usr/sbin/apache2'""}"
1618832672522,"{""time"":""2021-04-19 11:44:32.130526"", ""function"" : ""[mpm_prefork:notice]"", ""process"" : ""[pid5706]"" ,""message"" : ""AH00169: caught SIGTERM, shutting down""}"
1618832672522,"{""time"":""2021-04-19 11:44:32.293751"", ""function"" : ""[mpm_prefork:notice]"", ""process"" : ""[pid5750]"" ,""message"" : ""AH00163: Apache/2.4.41 (Ubuntu) configured -- resuming normal operations""}"
1618832677186,"{""time"":""2021-04-19 11:44:32.293810"", ""function"" : ""[core:notice]"", ""process"" : ""[pid5750]"" ,""message"" : ""AH00094: Command line: '/usr/sbin/apache2'""}"
1618843729198,"{""time"":""2021-04-19 14:48:49.036204"", ""function"" : ""[mpm_prefork:notice]"", ""process"" : ""[pid5750]"" ,""message"" : ""AH00169: caught SIGTERM, shutting down""}"
1618843729199,"{""time"":""2021-04-19 14:48:49.182802"", ""function"" : ""[mpm_prefork:notice]"", ""process"" : ""[pid7149]"" ,""message"" : ""AH00163: Apache/2.4.41 (Ubuntu) configured -- resuming normal operations""}"
1618843734187,"{""time"":""2021-04-19 14:48:49.182858"", ""function"" : ""[core:notice]"", ""process"" : ""[pid7149]"" ,""message"" : ""AH00094: Command line: '/usr/sbin/apache2'""}"
1618843881187,"{""time"":""2021-04-19 14:51:16.917951"", ""function"" : ""[mpm_prefork:notice]"", ""process"" : ""[pid7149]"" ,""message"" : ""AH00169: caught SIGTERM, shutting down""}"
1618844186286,"{""time"":""2021-04-19 14:56:26.246929"", ""function"" : ""[mpm_prefork:notice]"", ""process"" : ""[pid7311]"" ,""message"" : ""AH00163: Apache/2.4.41 (Ubuntu) configured -- resuming normal operations""}"
1618844191187,"{""time"":""2021-04-19 14:56:26.246988"", ""function"" : ""[core:notice]"", ""process"" : ""[pid7311]"" ,""message"" : ""AH00094: Command line: '/usr/sbin/apache2'""}"
1618903571426,"{""time"":""2021-04-19 15:41:11.592622"", ""function"" : ""[mpm_prefork:notice]"", ""process"" : ""[pid7311]"" ,""message"" : ""AH00169: caught SIGTERM, shutting down""}"
1618903571426,"{""time"":""2021-04-20 07:26:11.057339"", ""function"" : ""[mpm_prefork:notice]"", ""process"" : ""[pid812]"" ,""message"" : ""AH00163: Apache/2.4.41 (Ubuntu) configured -- resuming normal operations""}"
1618903576670,"{""time"":""2021-04-20 07:26:11.063165"", ""function"" : ""[core:notice]"", ""process"" : ""[pid812]"" ,""message"" : ""AH00094: Command line: '/usr/sbin/apache2'""}"
